Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Type II Interferon Production (GO:0032649),-0.6824980462767698,-2.0146590029757676,0.0,0.31740017182250596,0.171,7/13,11.11%,JAK2;PDCD1LG2;FADD;IFNL1;GAS6;CD274;RARA
prerank,Cellular Response To Tumor Necrosis Factor (GO:0071356),-0.5683511154144403,-1.9088052595157203,0.004098360655737705,0.5145071278401352,0.439,7/20,10.05%,JAK2;SFRP1;BIRC3;IKBKB;BIRC2;ACTN4;NR1D1
prerank,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),-0.6076230116293568,-1.899564683347267,0.006072874493927126,0.3777883323671228,0.475,8/15,14.50%,SFRP1;MED1;CYP27B1;AQP11;CDK6;CDKN2B;GDF5;IL26
prerank,Positive Regulation Of Cell Motility (GO:2000147),-0.48603617702078883,-1.894811111691735,0.0018832391713747645,0.2920371443937669,0.487,15/33,22.75%,EGFR;GPNMB;ADAM9;PAK1;F7;GRB7;MYOC;ACTN4;AKT2;TWIST1;F10;MMP7;CASS4;SEMA5A;ZNF703
prerank,Positive Regulation Of Cell Migration (GO:0030335),-0.4567626856884395,-1.8933683970616189,0.001869158878504673,0.23710807356238342,0.496,18/45,22.75%,IFNG;EGFR;GPNMB;ADAM9;PAK1;F7;GRB7;MYOC;ACTN4;AKT2;TWIST1;F10;ARHGEF7;MMP7;ENPP2;CASS4;SEMA5A;ZNF703
prerank,Regulation Of Stress Fiber Assembly (GO:0051492),-0.6269604363268013,-1.86676165010794,0.0019646365422396855,0.2526640637186767,0.571,9/13,22.12%,SFRP1;RHPN2;PAK1;MYOC;F11R;MET;ARHGEF10;S100A10;PPFIA1
prerank,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),-0.6785281682429353,-1.8599297003860586,0.005681818181818182,0.22982008527265596,0.599,7/10,14.30%,CCND1;CCNE1;EGFR;CDKN2B;CDK5RAP1;CDKN2A;CDC6
prerank,Positive Regulation Of Angiogenesis (GO:0045766),-0.5941647302244959,-1.830998059056187,0.00199203187250996,0.25888404425477224,0.679,5/15,21.96%,HMGA2;RLN2;GATA4;TWIST1;SEMA5A
prerank,Regulation Of Cell Population Proliferation (GO:0042127),-0.3621920799426392,-1.8258043504701553,0.0,0.2413916070836816,0.693,39/115,17.83%,JAK2;ACER3;SFRP1;IFNG;GAB2;FGF19;EGFR;GPNMB;SOX4;PAK1;YAP1;IFNL1;TSPAN31;EID2;CYP27B1;AQP11;FGF3;CDK6;IRS2;CDKN2B;BIRC2;NCCRP1;NRG1;ASH2L;CSF3;RARA;SQLE;USP17L2;AKT2;LIFR;BIRC7;CDKN2A;CDC6;ROMO1;ING1;CDK4;PINX1;MDM2;MYO16
prerank,Regulation Of T Cell Proliferation (GO:0042129),-0.6548012574833475,-1.8255385858837068,0.01775147928994083,0.21754230954592757,0.694,5/10,8.32%,JAK2;PDCD1LG2;IDO1;GPNMB;CD274
prerank,Positive Regulation Of Vasculature Development (GO:1904018),-0.5992023227989924,-1.8255166062390982,0.005870841487279843,0.19776573595084326,0.694,5/14,21.96%,HMGA2;RLN2;GATA4;TWIST1;SEMA5A
prerank,Positive Regulation Of Cellular Catabolic Process (GO:0031331),-0.568748435553421,-1.787193131445653,0.007476635514018692,0.2509731952234275,0.79,7/15,15.44%,IFNG;ADAM9;IRS2;PTPN1;AKT2;TWIST1;ORMDL3
prerank,Negative Regulation Of Cell Population Proliferation (GO:0008285),-0.40153204651526925,-1.7865812093997167,0.0,0.23289390900499293,0.792,21/55,17.83%,JAK2;SFRP1;IFNG;GPNMB;SOX4;PAK1;IFNL1;CYP27B1;TFDP1;AQP11;CDK6;CDKN2B;GDF5;NRG1;E2F3;CDKN2A;CDC6;IL26;ING1;PINX1;MYO16
prerank,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),-0.5510847291203392,-1.7720312986376057,0.010101010101010102,0.23996529624415158,0.823,8/16,15.70%,CCND1;CCNE1;TFDP1;CDK6;RPS6KB1;E2F3;BCAT1;CDK4
prerank,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),-0.5592539369277967,-1.7612042759505504,0.0056925996204933585,0.24319520014528084,0.854,8/16,14.30%,CCND1;CCNE1;IFNG;HMGA2;CDK12;CDKN2B;CDKN2A;CDC6
prerank,Positive Regulation Of Protein Secretion (GO:0050714),-0.6082056013420623,-1.7425559872127305,0.020754716981132074,0.2669458636874786,0.89,5/11,13.84%,ADAM9;SOX4;IRS2;DNM1L;BLK
prerank,Cell Cycle G1/S Phase Transition (GO:0044843),-0.5579154663726336,-1.7333856627061526,0.01593625498007968,0.26948749479745937,0.901,10/14,29.17%,CCND1;CCNE1;CDK6;RPS6KB1;E2F3;BCAT1;CDK4;EIF4EBP1;CUL4A;CDKN1B
prerank,Positive Regulation Of Cell Population Proliferation (GO:0008284),-0.3610162214171692,-1.7294070422836492,0.0,0.26160151147928,0.91,26/85,15.70%,JAK2;ACER3;SFRP1;IFNG;GAB2;FGF19;EGFR;HMGA2;SOX4;PAK1;YAP1;GAS6;TSPAN31;AQP11;FGF3;CDK6;IRS2;NCCRP1;NRG1;ASH2L;CSF3;RARA;AKT2;LIFR;ROMO1;CDK4
prerank,Negative Regulation Of Signal Transduction (GO:0009968),-0.42409689310864357,-1.726231715866634,0.009746588693957114,0.25378283385087175,0.914,18/39,22.26%,SFRP1;PIP4K2C;PIP4K2B;GRB7;PTPN1;RPS6KB1;MFHAS1;NR1D1;NRG1;TSKU;GATA4;TWIST1;GRINA;KCTD21;CLEC12B;NKD2;DKK4;YWHAB
prerank,Epidermis Development (GO:0008544),0.5155280851027901,1.709615485086207,0.014,1.0,0.934,8/17,25.48%,SPRR2D;SPRR2B;GRHL2;SPRR1A;PTHLH;SPRR2E;FLG2;FABP5
prerank,Response To Tumor Necrosis Factor (GO:0034612),-0.5451824770717244,-1.7015297242667564,0.019305019305019305,0.2920371443937669,0.95,5/15,10.05%,JAK2;SFRP1;ADAM9;IKBKB;NR1D1
prerank,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),-0.5634970251544386,-1.6976045582724824,0.012,0.2857222681768155,0.957,4/14,8.32%,JAK2;PDCD1LG2;IRS2;CD274
prerank,Regulation Of Angiogenesis (GO:0045765),-0.44407089912696485,-1.696639136814641,0.009881422924901186,0.27464535415691727,0.958,8/30,13.21%,SFRP1;GPNMB;HMGA2;COL4A2;RLN2;NRG1;GATA4;TWIST1
prerank,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),-0.5979627965665881,-1.6917031093174093,0.017716535433070866,0.2731645314374753,0.96,6/11,21.96%,PAK1;CTTN;CSF3;BAIAP2L1;MET;SEMA5A
prerank,Positive Regulation Of Growth (GO:0045927),-0.5651177146554758,-1.6770165741555632,0.026156941649899398,0.28974239429307147,0.971,5/12,8.45%,SFRP1;EGFR;YAP1;ZNF639;AGR2
prerank,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",0.5931289310378096,1.667945718568543,0.02536997885835095,1.0,0.974,8/10,31.27%,TRA2B;SRSF6;RBM8A;KHDRBS3;RBM38;FXR1;HNRNPU;HNRNPL
prerank,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),-0.5221791667000619,-1.663077886257518,0.021359223300970873,0.3058636176320624,0.977,5/17,2.33%,CCND1;IFNG;EGFR;HMGA2;ADAM9
prerank,Sensory Perception Of Bitter Taste (GO:0050913),0.4998775952173191,1.6552719597107266,0.01284796573875803,0.5651470083096419,0.982,11/18,25.35%,RTP2;TAS2R46;TAS2R19;RTP1;TAS2R31;TAS2R42;RTP4;TAS2R43;TAS2R14;TAS2R13;TAS2R7
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste (GO:0050912),0.4998775952173191,1.6552719597107266,0.01284796573875803,0.5651470083096419,0.982,11/18,25.35%,RTP2;TAS2R46;TAS2R19;RTP1;TAS2R31;TAS2R42;RTP4;TAS2R43;TAS2R14;TAS2R13;TAS2R7
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580),0.4998775952173191,1.6552719597107266,0.01284796573875803,0.5651470083096419,0.982,11/18,25.35%,RTP2;TAS2R46;TAS2R19;RTP1;TAS2R31;TAS2R42;RTP4;TAS2R43;TAS2R14;TAS2R13;TAS2R7
prerank,Cellular Response To Ketone (GO:1901655),-0.551361495113146,-1.6483249338798542,0.017208413001912046,0.32615180985835657,0.983,9/13,34.33%,SFRP1;GAS6;MAP4K1;DEFB104A;ADCY2;AHR;PTGER4;SCNN1A;PCK1
prerank,Regulation Of Protein Kinase B Signaling (GO:0051896),-0.44898454149262734,-1.644229248151042,0.009615384615384616,0.32271432995043225,0.986,11/27,14.50%,EGFR;CALCR;GAS6;F7;MYOC;MFHAS1;CPNE1;CSF3;GATA4;F10;IL26
prerank,Regulation Of Wnt Signaling Pathway (GO:0030111),-0.5586509599120121,-1.6249669332043633,0.0395010395010395,0.3551859065632805,0.989,8/12,22.75%,SFRP1;CTNND2;TSKU;SOX7;NKD2;DKK4;TERT;ZNF703
prerank,Regulation Of Epithelial Cell Proliferation (GO:0050678),-0.4664749600933853,-1.6225019239324376,0.028056112224448898,0.3481356631893523,0.989,9/21,14.50%,SFRP1;EGFR;YAP1;AQP11;CDK6;CDKN2B;GDF5;NR1D1;IL26
prerank,Cellular Response To Growth Factor Stimulus (GO:0071363),-0.472722723284563,-1.619838938790349,0.017928286852589643,0.3430530624218592,0.99,5/20,8.68%,SFRP1;MED1;EGFR;URI1;RPS6KB1
prerank,Cytokine-Mediated Signaling Pathway (GO:0019221),-0.43772921410026683,-1.6196536740635439,0.028680688336520075,0.3322205952232622,0.99,16/28,34.00%,JAK2;BIRC3;IKBKB;YAP1;BIRC2;ACTN4;CSF3;LIFR;OSMR;IL1RAP;CD4;IL6;COMMD7;ST18;LYN;HCK
prerank,Wound Healing (GO:0042060),-0.5249306065447723,-1.6141613168300954,0.041666666666666664,0.33325206396546786,0.994,10/14,32.83%,PAK1;FUT10;NRG1;TSKU;GATA4;SYT11;ERBB2;FGF10;EPPK1;SPRR3
prerank,Cholesterol Metabolic Process (GO:0008203),-0.5322945274275209,-1.6124183017775102,0.025540275049115914,0.32679876553635906,0.994,8/14,24.92%,CYP51A1;TSKU;SQLE;CLN8;FDFT1;STARD3;DHCR7;CYP11B1
prerank,Regulation Of Insulin Secretion (GO:0050796),-0.5069592568894463,-1.609724300084479,0.017341040462427744,0.32315480829793414,0.995,9/15,29.44%,SFRP1;IFNG;SOX4;IRS2;NR1D1;BLK;ENSA;TM7SF3;IL6
prerank,Cellular Response To Hormone Stimulus (GO:0032870),-0.4957258912886615,-1.6045372799340538,0.024574669187145556,0.3248952052341007,0.996,5/16,11.11%,SFRP1;MED1;BCAS3;URI1;RARA
prerank,Proteolysis (GO:0006508),-0.3869777431241829,-1.6015149442320233,0.015384615384615385,0.3222312246660753,0.996,17/41,21.19%,CAPN5;PEPD;ADAM32;F7;CTSZ;CAPN12;ADAM2;CPM;CPNE1;PARL;MMP7;HTRA4;MDM2;OLR1;PSMC4;TRHDE;CTSS
prerank,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),-0.44413030566207523,-1.5942389124636427,0.022556390977443608,0.329582259128047,0.997,12/24,21.96%,EGFR;CALCR;GAS6;F7;MYOC;MFHAS1;CPNE1;CSF3;F10;IL26;CASS4;SEMA5A
prerank,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),0.5828583338560287,1.5748099845891874,0.033932135728542916,0.8133326999393403,0.997,6/10,22.79%,MAGEF1;VPS72;YEATS4;RAD51AP1;ACTL6A;RTEL1
prerank,Regulation Of Cell Motility (GO:2000145),-0.4921367900669472,-1.5743715353716592,0.0321285140562249,0.36480805617426937,0.998,8/16,16.60%,FGF19;FGF3;CDK6;SPINT2;USP17L2;AKT2;TWIST1;ENPP2
prerank,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),-0.5016582778501184,-1.5669694156711391,0.03824091778202677,0.3722140406245427,1.0,10/16,32.17%,CAPN5;EID2;CDKN2B;ING1;HTRA4;ZNF703;SMURF1;STRAP;ARID4B;DAB2
prerank,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),0.5564802960626265,1.5658097918952745,0.038461538461538464,0.7331726879118148,0.997,5/11,17.66%,GP5;GRIN2B;PLCH1;ATP2B4;JPH1
prerank,Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),-0.5615200645741701,-1.5574707819634621,0.04627766599597585,0.3838150707894755,1.0,3/10,7.45%,SFRP1;FGF19;FGF3
prerank,Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039),-0.5495515014860597,-1.5529402327650625,0.048625792811839326,0.3849877794096127,1.0,5/11,25.68%,PAK1;ANKRD27;CTTN;MYO16;TNIK
prerank,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),-0.36175307199043677,-1.5481137027994418,0.018975332068311195,0.387208885412083,1.0,13/48,9.48%,MED1;IFNG;FGF19;HMGA2;CALCR;YAP1;RLN2;GAS6;CYP27B1;FGF3;PTPN1;AGR2;MYLK2
prerank,Extrinsic Apoptotic Signaling Pathway (GO:0097191),-0.5274615712256574,-1.5418671341567394,0.039923954372623575,0.39269718614251004,1.0,4/12,12.31%,JAK2;IFNG;FADD;DEDD
prerank,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),-0.4288537120283653,-1.5341505206407482,0.032,0.4019545762505231,1.0,9/23,14.50%,FGF19;EGFR;GPNMB;CALCR;GAS6;MFHAS1;NRG1;GATA4;IL26
prerank,Cellular Response To Alcohol (GO:0097306),-0.5243377306530742,-1.5322790121493644,0.05708661417322835,0.3974990279688857,1.0,7/12,31.10%,SFRP1;MAP4K1;DEFB104A;ADCY2;AHR;PTGER4;SCNN1A
prerank,Cellular Component Assembly (GO:0022607),-0.3845839303585535,-1.5287885464270228,0.019801980198019802,0.39714405060777125,1.0,16/36,22.89%,TCAP;YAP1;PTPRD;GAS6;CAPZA2;RP1L1;SLC7A9;DNM1L;VMP1;HORMAD1;BAIAP2L1;YTHDF1;MDM2;TRIP13;KIFAP3;PKP2
prerank,Regulation Of Programmed Cell Death (GO:0043067),-0.41881068282852396,-1.5267203438922856,0.04365079365079365,0.3932271437948699,1.0,10/24,16.37%,ACER3;BIRC3;PEPD;IKZF3;BIRC2;ACTN4;USP17L2;BIRC7;TRRAP;ANP32E
prerank,Positive Regulation Of Programmed Cell Death (GO:0043068),-0.39873826695195924,-1.523158390603217,0.036,0.39291556658354926,1.0,11/30,16.80%,RNF122;SFRP1;IFNG;SOX4;FADD;ZNF622;NRG1;DNM1L;STK4;ARHGEF7;HTRA4
prerank,Negative Regulation Of Multicellular Organismal Process (GO:0051241),-0.3906787965595729,-1.5185782045430667,0.03300970873786408,0.3954561827664621,1.0,11/31,15.67%,SFRP1;IFNG;EGFR;GPNMB;PROCR;GAS6;CYP51A1;NR1D1;RAB11FIP1;PTPRR;ING1
prerank,Regulation Of RNA Splicing (GO:0043484),0.5122211000431705,1.516593440933273,0.05521472392638037,0.8553239810274138,0.999,8/12,31.27%,ILDR2;ESRP1;TRA2B;CLK2;RBM12B;RBM38;RBM12;HNRNPL
prerank,Positive Regulation Of GTPase Activity (GO:0043547),-0.4199146030844053,-1.5142705990876744,0.03278688524590164,0.3975763248143828,1.0,12/26,22.69%,AGAP2;SFRP1;RAPGEFL1;BCAS3;RAPGEF5;USP17L2;SIPA1L3;SNX13;ARHGEF7;ARHGEF10;S100A10;GRTP1
prerank,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),-0.44184009965375803,-1.5078753021473235,0.0533596837944664,0.40390443568030054,1.0,13/21,30.87%,JAK2;IFNG;SOX4;IFNL1;IRS2;RPS6KB1;AKT2;YTHDF1;DYRK2;PRKDC;ERBB2;IL6;NMD3
prerank,Positive Regulation Of MAPK Cascade (GO:0043410),-0.3686588579650708,-1.5021306596679584,0.03088803088803089,0.41018425787775026,1.0,12/41,11.38%,FGF19;EGFR;GPNMB;ADAM9;CALCR;ZNF622;GAS6;MAP4K1;MFHAS1;ADRB3;NRG1;GATA4
prerank,Positive Regulation Of Immune Response (GO:0050778),-0.5228673249869171,-1.4852812600823735,0.062135922330097085,0.4430804673076647,1.0,5/11,10.55%,IFNG;FADD;IFNL1;NRG1;C9
prerank,Negative Regulation Of Cytokine Production (GO:0001818),-0.403497082513806,-1.47950199403359,0.053465346534653464,0.4489926834448421,1.0,7/27,11.11%,PDCD1LG2;IFNG;GPNMB;IFNL1;GAS6;CD274;RARA
prerank,Positive Regulation Of Protein Kinase Activity (GO:0045860),-0.450361783764453,-1.477180139226172,0.056818181818181816,0.4468636042977215,1.0,5/17,8.05%,AGAP2;IFNG;HMGA2;GAS6;PTPN1
prerank,Positive Regulation Of Cellular Process (GO:0048522),-0.2967867775492514,-1.4676627007331429,0.014571948998178506,0.46181414432491813,1.0,26/94,17.53%,ACER3;SFRP1;IFNG;GAB2;FGF19;EGFR;SOX4;PAK1;YAP1;ZNF639;TSPAN31;AQP11;FGF3;IRS2;NCCRP1;NRG1;ASH2L;CSF3;RARA;AKT2;TWIST1;LIFR;ROMO1;CDK4;SIRT2;MDM2
