gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
GLIS3,GLIS3,90,0.49620667,-0.0829978,0.57920444,0.644688606262207,1.0324565172195435,0.3877679109573364
PIBF1,PIBF1,102,0.7518411,0.35169536,0.40014577,0.37506455183029175,0.7853630781173706,0.41029852628707886
CPT1A,CPT1A,85,0.45933002,0.14770569,0.31162435,0.7953268885612488,1.287489652633667,0.4921627640724182
C9orf53,C9orf53,111,0.3970885,0.08799222,0.30909628,1.098407506942749,1.4723082780838013,0.37390077114105225
ZNF569,ZNF569,94,0.81084865,0.5350738,0.27577484,0.33772414922714233,0.8168534636497498,0.4791293144226074
AAMDC,AAMDC,120,0.42020258,0.16553733,0.25466526,0.5215973258018494,0.6032134890556335,0.08161616325378418
MRPL21,MRPL21,82,0.5583031,0.30377692,0.2545262,1.1276240348815918,1.4142836332321167,0.2866595983505249
VMP1,VMP1,98,0.57443434,0.32291412,0.25152022,0.9139872193336487,1.1009495258331299,0.1869623064994812
RN7SL128P,RN7SL128P,94,0.52745706,0.28540242,0.24205464,2.108200788497925,2.510662317276001,0.40246152877807617
RGS9BP,RGS9BP,106,0.5973754,0.3853776,0.2119978,0.8879013061523438,1.1445512771606445,0.2566499710083008
FXYD7,FXYD7,100,0.8063252,0.6006513,0.20567387,0.5006040930747986,0.8321223258972168,0.3315182328224182
TRPC6,TRPC6,123,0.36959597,0.16887407,0.2007219,1.1966763734817505,1.3122031688690186,0.11552679538726807
COL4A1,COL4A1,113,0.62648755,0.450966,0.17552155,0.7072611451148987,0.9069975018501282,0.1997363567352295
FGFR1,FGFR1,102,0.65695363,0.48551813,0.1714355,0.446122407913208,0.5950824022293091,0.14895999431610107
FGF3,FGF3,96,0.47671443,0.30624864,0.1704658,0.88249272108078,1.063169240951538,0.18067651987075806
CAPZA2,CAPZA2,108,0.45618173,0.2857765,0.17040524,0.9526278972625732,1.2040077447891235,0.2513798475265503
MBOAT1,MBOAT1,113,0.39112103,0.22129571,0.16982532,1.4834940433502197,1.8376861810684204,0.3541921377182007
CARKD,CARKD,96,0.6859078,0.52477664,0.16113114,0.4023146629333496,0.5342888832092285,0.1319742202758789
PROZ,PROZ,97,0.7205512,0.56068283,0.15986836,0.7358371019363403,0.9439190626144409,0.20808196067810059
CPSF6,CPSF6,104,0.2468124,0.090011425,0.15680099,0.5170913338661194,0.5631707906723022,0.04607945680618286
CD274,CD274,92,0.23202632,0.08065482,0.15137151,0.6789082288742065,0.7642275094985962,0.08531928062438965
C11orf30,C11orf30,102,0.42398712,0.2801306,0.14385653,1.351508378982544,1.478704810142517,0.12719643115997314
LINC00340,LINC00340,118,0.36646143,0.2289317,0.13752973,0.8903266787528992,1.0688378810882568,0.17851120233535767
DPY19L3,DPY19L3,90,0.67915136,0.54871637,0.13043499,0.41696470975875854,0.5301605463027954,0.11319583654403687
RN7SL340P,RN7SL340P,99,0.48048338,0.35138422,0.12909916,0.3101647198200226,0.38180381059646606,0.07163909077644348
