Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Neuroactive ligand-receptor interaction,0.3400139096396042,1.9746003672911814,0.0022197558268590455,0.37353586594089316,0.318,27/41,41.95%,CRH;UTS2B;GRIN2B;EDN3;NPBWR1;TRHR;SST;SLURP1;P2RY14;RXFP4;MC3R;KNG1;GHSR;GHRH;CHRNB2;CHRM3;OPRL1;KISS1;RXFP3;PENK;AGTR1;P2RY1;CHRNA4;IAPP;OPRK1;P2RY13;NTSR1
prerank,Taste transduction,0.40241370711037344,1.9438619642239563,0.0011918951132300357,0.22928125623414744,0.36,17/24,35.66%,TAS2R19;TAS2R10;HTR3D;TAS2R46;HTR3E;TAS2R31;TAS2R43;TAS2R7;TAS2R8;TAS2R50;CACNA1C;CHRM3;TAS2R42;TAS2R14;TAS2R9;GNB3;P2RY1
prerank,Melanoma,-0.3489961445359566,-1.9018737847972247,0.014925373134328358,0.645662664122994,0.216,19/21,51.50%,PDGFRA;CCND1;CDK4;E2F3;EGFR;FGF19;FGF3;CDKN2A;CDK6;MET;AKT2;FGF10;MDM2;FGFR1;FGF4;KRAS;FGF23;FGF6;E2F1
prerank,Chemical carcinogenesis,-0.220174375759646,-1.7394969998952234,0.008403361344537815,0.7671136797216923,0.405,37/38,74.78%,JAK2;CCND1;EGFR;CDC6;KLF5;FGF3;RPS6KB1;ADRB3;KPNA7;MIR141;AKT2;AHR;NR1I3;FGF10;CREB3L4;DLL3;GNAS;RXRG;ADCY2;FGF4;EIF4EBP1;KRAS;SRC;ARNT;MYC;FGF6;E2F1;ADCY8;MGST3;KPNA4;CHRNA4;AKT3;MGST1;BCL6;PIK3CA;CHRNB2;CACNA1C
prerank,Cell cycle,-0.2800921547091664,-1.7045197529479288,0.04519774011299435,0.6020648636516664,0.438,20/23,53.53%,CCND1;CDK4;CCNE1;E2F3;CDKN2B;TFDP1;CDC6;CCND2;CDKN2A;CDK6;PRKDC;RBL1;MDM2;CDKN1B;YWHAB;MCM4;RAD21;MYC;E2F1;SKP2
prerank,Human cytomegalovirus infection,-0.23401138442362535,-1.7004804555857087,0.016666666666666666,0.4619290764223993,0.441,29/35,54.13%,PDGFRA;CCND1;CDK4;E2F3;EGFR;FADD;IKBKB;GNG11;CDKN2A;RPS6KB1;CDK6;PTGER4;ITPR2;AKT2;TNFRSF1A;GNG4;IL6;GNGT1;MDM2;CREB3L4;GNAS;ADCY2;EIF4EBP1;KRAS;SRC;MYC;E2F1;GNB4;ADCY8
prerank,Oxytocin signaling pathway,-0.295466456151042,-1.6720823968448881,0.019230769230769232,0.4201997531141286,0.486,18/20,57.98%,CCND1;EGFR;MYLK2;CACNB1;PRKAB2;MYL9;ITPR2;RYR1;RYR2;GNAS;ADCY2;CACNA2D4;KRAS;SRC;KCNJ9;PRKAA1;ADCY8;NFATC2
prerank,Cellular senescence,-0.2466598559397069,-1.6350521119215065,0.02857142857142857,0.412795047319792,0.53,23/28,51.50%,CCND1;CDK4;CCNE1;E2F3;CDKN2B;VDAC3;CCND2;CDKN2A;CDK6;RAD1;GATA4;FOXM1;ITPR2;AKT2;IL6;NBN;RBL1;MDM2;EIF4EBP1;MYBL2;KRAS;MYC;E2F1
prerank,Necroptosis,-0.31728518890003343,-1.6055771583465277,0.02575107296137339,0.40187088189557046,0.566,15/15,68.46%,JAK2;IFNG;BIRC2;BIRC3;FADD;VDAC3;DNM1L;TNFRSF1A;CHMP4B;USP21;ZBP1;SPATA2;TNFSF10;SHARPIN;CHMP4C
prerank,Adherens junction,-0.3908925280149711,-1.5937081427866113,0.05776173285198556,0.3734359218942879,0.579,10/11,48.14%,EGFR;ACTN4;PTPRB;PTPN6;MET;PTPN1;FGFR1;ERBB2;SRC;SNAI2
prerank,Kaposi sarcoma-associated herpesvirus infection,-0.22174904229033776,-1.522203956256893,0.060810810810810814,0.4611217097470043,0.686,29/30,73.62%,JAK2;CCND1;CDK4;E2F3;FADD;ZFP36;IKBKB;GNG11;CDK6;ITPR2;AKT2;TNFRSF1A;GNG4;IL6;GNGT1;LYN;KRAS;SRC;MYC;E2F1;GNB4;CLEC2B;HCK;NFATC2;PLCG1;PREX1;GNB3;AKT3;PIK3CA
prerank,Bladder cancer,-0.35805490801900675,-1.520068602593542,0.06666666666666667,0.41895410167209063,0.689,11/12,51.50%,CCND1;CDK4;E2F3;EGFR;CDKN2A;MDM2;ERBB2;KRAS;SRC;MYC;E2F1
