Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Non-small cell lung cancer,-0.6385437053956179,-2.0867616922983445,0.0,0.054524311040898714,0.03,11/17,20.69%,CCND1;EGFR;CDK6;KIF5A;E2F3;AKT2;CDKN2A;STK4;MET;CDK4;RXRG
prerank,Melanoma,-0.6082413334722866,-2.0808238130674495,0.002012072434607646,0.02881999297876075,0.032,11/21,17.53%,CCND1;FGF19;EGFR;FGF3;CDK6;E2F3;AKT2;CDKN2A;MET;CDK4;MDM2
prerank,Pancreatic cancer,-0.6408721851356043,-2.0580204887842184,0.0,0.02492539933298227,0.042,9/16,15.70%,CCND1;EGFR;IKBKB;CDK6;RPS6KB1;E2F3;AKT2;CDKN2A;CDK4
prerank,Small cell lung cancer,-0.5508443254365949,-2.019150583105316,0.0,0.027262155520449357,0.058,14/25,20.69%,CCND1;BIRC3;CCNE1;COL4A2;IKBKB;CDK6;CDKN2B;BIRC2;E2F3;AKT2;BIRC7;CDK4;COL4A1;RXRG
prerank,Necroptosis,-0.6355754814022035,-2.0071673832893357,0.0,0.024613831841319992,0.066,7/15,11.24%,JAK2;BIRC3;IFNG;FADD;BIRC2;DNM1L;VDAC3
prerank,Human cytomegalovirus infection,-0.4681248931069664,-1.8904390817498395,0.0,0.06023638172137383,0.167,17/35,24.48%,CCND1;EGFR;FADD;IKBKB;CDK6;RPS6KB1;E2F3;AKT2;GNG11;CDKN2A;CDK4;MDM2;GNAS;GNGT1;ADCY2;EIF4EBP1;GNG4
prerank,Glioma,-0.5916898596994489,-1.882938872084364,0.0,0.05541450387421952,0.179,8/15,17.53%,CCND1;EGFR;CDK6;E2F3;AKT2;CDKN2A;CDK4;MDM2
prerank,Adherens junction,-0.6501982776768709,-1.872838956985921,0.011857707509881422,0.0527717439002984,0.194,5/11,15.40%,EGFR;PTPRB;PTPN1;ACTN4;MET
prerank,Cellular senescence,-0.49150178093979563,-1.8451490603631362,0.0,0.060063288670450334,0.238,13/28,24.28%,CCND1;CCNE1;CDK6;CDKN2B;VDAC3;GATA4;E2F3;AKT2;CDKN2A;CDK4;MDM2;EIF4EBP1;RAD1
prerank,PD-L1 expression and PD-1 checkpoint pathway in cancer,-0.596949007171223,-1.8355785894210732,0.0,0.058418904686677195,0.248,7/15,12.54%,JAK2;IFNG;EGFR;IKBKB;CD274;RPS6KB1;AKT2
prerank,Oxytocin signaling pathway,-0.5336313605439769,-1.811878650173128,0.005870841487279843,0.06585403801043613,0.29,11/20,32.50%,CCND1;EGFR;CACNB1;PRKAB2;MYLK2;GNAS;ADCY2;MYL9;RYR2;CACNA2D4;KRAS
prerank,Chronic myeloid leukemia,-0.5416992243780808,-1.8041396452303888,0.001953125,0.06374151600257445,0.304,9/18,17.53%,CCND1;GAB2;IKBKB;CDK6;E2F3;AKT2;CDKN2A;CDK4;MDM2
prerank,Focal adhesion,-0.48128598244291465,-1.799189446745132,0.003745318352059925,0.06315233388693105,0.32,11/30,15.40%,CCND1;BIRC3;EGFR;COL4A2;PAK1;RAP1B;MYLK2;BIRC2;ACTN4;AKT2;MET
prerank,Cell cycle,-0.5088315721188443,-1.7887935938067439,0.0018867924528301887,0.06376006168660198,0.339,12/23,22.29%,CCND1;CCNE1;TFDP1;CDK6;CDKN2B;E2F3;CDKN2A;CDC6;CDK4;MDM2;YWHAB;PRKDC
prerank,JAK-STAT signaling pathway,-0.4794530206517602,-1.7786054848811246,0.007619047619047619,0.06459832660464572,0.356,10/29,13.64%,JAK2;CCND1;IFNG;EGFR;IFNL1;IL22;IFNL3;CSF3;AKT2;LIFR
prerank,NOD-like receptor signaling pathway,-0.4651931258413922,-1.7680409907398917,0.006172839506172839,0.06698701070738985,0.38,14/29,23.62%,BIRC3;FADD;IKBKB;DEFB4A;BIRC2;DEFB103A;DNM1L;VDAC3;CARD6;DEFA5;DEFB103B;DEFA1B;DEFA1;TXNIP
prerank,Insulin resistance,-0.5129018246229422,-1.7289663477053674,0.015444015444015444,0.08733053516298568,0.476,8/20,12.54%,IKBKB;PRKAB2;IRS2;PTPN1;CPT1A;RPS6KB1;SLC27A3;AKT2
prerank,Hepatitis C,-0.49577598979208254,-1.7234637703107178,0.005628517823639775,0.08602724630897354,0.494,9/21,15.70%,CCND1;IFNG;EGFR;FADD;IKBKB;CDK6;E2F3;AKT2;CDK4
prerank,Bladder cancer,-0.5791616186731677,-1.7221286598156695,0.007984031936127744,0.08231941095498094,0.498,6/12,17.53%,CCND1;EGFR;E2F3;CDKN2A;CDK4;MDM2
prerank,Epithelial cell signaling in Helicobacter pylori infection,-0.6070408368953415,-1.7006294393068713,0.011538461538461539,0.09362603124451464,0.548,5/11,15.40%,EGFR;PAK1;IKBKB;F11R;MET
prerank,Herpes simplex virus 1 infection,-0.4017574913054286,-1.6844093829851918,0.007380073800738007,0.10111106931802034,0.581,15/49,13.51%,JAK2;ZNF254;BIRC3;IFNG;ZNF780A;ZNF726;FADD;ZNF793;IKBKB;ZNF540;ZNF527;BIRC2;AKT2;ZNF383;ZNF546
prerank,Regulation of actin cytoskeleton,-0.44650097725210214,-1.672645248164091,0.007561436672967864,0.10479997446822092,0.606,10/31,16.13%,PIP4K2C;FGF19;EGFR;PAK1;PIP4K2B;FGF3;MYLK2;ACTN4;ARHGEF7;ARPC1A
prerank,TGF-beta signaling pathway,-0.5435140285665903,-1.6592527792542335,0.015810276679841896,0.11135151223756211,0.639,7/15,16.10%,IFNG;TFDP1;CDKN2B;GDF5;RPS6KB1;TGIF2;FMOD
prerank,Toxoplasmosis,-0.520770010324352,-1.6551209574394012,0.017045454545454544,0.10911353197589375,0.649,7/16,14.01%,JAK2;BIRC3;IFNG;IKBKB;BIRC2;AKT2;BIRC7
prerank,Pathways in cancer,-0.3427087463962495,-1.6531644508437733,0.003787878787878788,0.10605757416183957,0.651,33/84,24.48%,JAK2;CCND1;BIRC3;CCNE1;IFNG;FGF19;EGFR;FADD;COL4A2;IKBKB;FGF3;CDK6;CDKN2B;RPS6KB1;BIRC2;RARA;E2F3;AKT2;GNG11;BIRC7;CDKN2A;STK4;MET;CDK4;MDM2;COL4A1;RXRG;GNAS;TERT;GNGT1;ADCY2;MECOM;GNG4
prerank,Kaposi sarcoma-associated herpesvirus infection,-0.42838477882436293,-1.639608872874404,0.009505703422053232,0.11156512874522352,0.68,9/30,15.70%,JAK2;CCND1;FADD;IKBKB;CDK6;E2F3;AKT2;GNG11;CDK4
prerank,Apoptosis,-0.48502012710709286,-1.6377583342111506,0.019193857965451054,0.10870243597995047,0.683,7/19,14.01%,BIRC3;FADD;IKBKB;CTSZ;BIRC2;AKT2;BIRC7
prerank,IL-17 signaling pathway,-0.534169583412605,-1.6376246428119938,0.023166023166023165,0.1048758431756062,0.684,5/14,10.71%,IFNG;FADD;IKBKB;DEFB4A;CSF3
prerank,Chemical carcinogenesis,-0.4025216332131648,-1.6157038142502644,0.02099236641221374,0.11796589856730402,0.73,16/38,25.12%,JAK2;CCND1;EGFR;KLF5;FGF3;RPS6KB1;ADRB3;AKT2;CDC6;RXRG;GNAS;NR1I3;ADCY2;AHR;EIF4EBP1;KPNA7
prerank,Acute myeloid leukemia,-0.5494170216397565,-1.595526096181555,0.041666666666666664,0.129819788192616,0.766,5/12,12.54%,CCND1;IKBKB;RPS6KB1;RARA;AKT2
prerank,FoxO signaling pathway,-0.4367102460307987,-1.5954428982889877,0.02040816326530612,0.12568230591086424,0.766,11/27,17.53%,CCND1;AGAP2;EGFR;IKBKB;PRKAB2;FBXO25;IRS2;CDKN2B;AKT2;STK4;MDM2
prerank,TNF signaling pathway,-0.5079941430972212,-1.5681874771517728,0.0311284046692607,0.1452683429875373,0.816,6/15,12.54%,BIRC3;FADD;IKBKB;BIRC2;DNM1L;AKT2
prerank,Regulation of lipolysis in adipocytes,-0.5769543781766748,-1.5648480335921513,0.039761431411530816,0.14407636129595056,0.824,6/10,23.25%,IRS2;ADRB3;AKT2;GNAS;FABP4;ADCY2
