cancer_label,tcga_type,n_samples,mse,r2,pearson_r,mapping_purity
0,ACC,76,1.9482868909835815,0.186207115650177,0.61530554,1.0
1,BLCA,401,0.908675491809845,0.19181180000305176,0.46084797,1.0
2,BRCA,757,1.0805448293685913,0.3056730031967163,0.5943736,1.0
3,CESC,291,0.6755767464637756,0.4923872947692871,0.70289654,1.0
4,CHOL,36,0.5466295480728149,0.559440016746521,0.754833,1.0
5,COAD,285,0.46843966841697693,0.6673209071159363,0.8201633,1.0
6,DLBC,47,0.42325299978256226,0.010214149951934814,0.24788877,1.0
7,ESCA,180,0.9349175095558167,0.36072736978530884,0.6029416,1.0
8,HNSC,506,0.6331923007965088,0.3634423613548279,0.60735464,1.0
9,KICH,65,0.6272383332252502,0.5133909583091736,0.72360027,1.0
10,KIRC,306,0.1723558008670807,0.28116071224212646,0.59932816,1.0
11,KIRP,268,0.3146494925022125,0.48626405000686646,0.69997525,1.0
12,LAML,163,0.16518110036849976,-0.13856375217437744,0.23521563,1.0
13,LGG,506,0.757385790348053,-1.063873291015625,0.15965931,1.0
14,LIHC,357,1.2655622959136963,0.15644586086273193,0.47533086,1.0
15,LUAD,448,0.6674172878265381,0.31072336435317993,0.58321893,1.0
16,LUSC,356,0.9658799171447754,0.5019559860229492,0.7093544,1.0
17,MESO,87,0.3234086334705353,0.15293031930923462,0.47842216,1.0
19,PAAD,176,0.2614939212799072,0.3397080898284912,0.58427465,1.0
20,PCPG,161,0.46336421370506287,-0.12970149517059326,0.28715664,1.0
21,PRAD,484,0.272807240486145,0.15723061561584473,0.42454985,1.0
22,READ,91,0.49566811323165894,0.7338417768478394,0.8578235,1.0
23,SARC,250,1.3334715366363525,0.03361302614212036,0.33672696,1.0
24,SKCM,351,0.8643008470535278,0.20331960916519165,0.4691989,1.0
25,STAD,365,0.6711525917053223,0.34084755182266235,0.5965289,1.0
26,TGCT,133,2.4648044109344482,0.15510356426239014,0.4817148,1.0
27,THCA,494,0.06240042671561241,0.24951475858688354,0.62582654,1.0
28,THYM,119,0.135896697640419,0.3788015842437744,0.6380095,1.0
29,UCEC,411,0.6490121483802795,0.3661271929740906,0.6093229,1.0
30,UCS,55,1.9353421926498413,0.29832154512405396,0.55879205,1.0
31,UVM,80,0.5704954266548157,0.6649216413497925,0.8264312,1.0
