model,seed,best_epoch,best_val_mse,test_mse,test_r2,test_pearson_r,parameters
Full_512-128-512,42,10,0.5332639813423157,0.5288558602333069,0.4849088191986084,0.6966368,3372193
Full_512-128-512,123,10,0.5323604941368103,0.5293487906455994,0.4844287037849426,0.6968011,3372193
Full_512-128-512,456,9,0.5384556651115417,0.5324287414550781,0.48142892122268677,0.69597054,3372193
Full_512-128-512,789,9,0.5375370383262634,0.5371556282043457,0.4768250584602356,0.69104654,3372193
Full_512-128-512,1011,10,0.5334318280220032,0.5340749025344849,0.47982561588287354,0.6943867,3372193
No_Nonlinearity,42,7,0.5746059417724609,0.5649257302284241,0.4497777819633484,0.67394453,3372193
No_Nonlinearity,123,9,0.5656721591949463,0.5581040978431702,0.4564218521118164,0.6808607,3372193
No_Nonlinearity,456,8,0.5694141387939453,0.5709830522537231,0.44387805461883545,0.66900015,3372193
No_Nonlinearity,789,8,0.5681278109550476,0.5636312365531921,0.45103853940963745,0.6763505,3372193
No_Nonlinearity,1011,8,0.5688609480857849,0.5618391633033752,0.4527839422225952,0.67763966,3372193
Shallow_128,42,10,0.5326211452484131,0.5320374965667725,0.48180997371673584,0.696852,812449
Shallow_128,123,10,0.5343416333198547,0.5358619093894958,0.47808510065078735,0.69528466,812449
Shallow_128,456,10,0.5363755822181702,0.5389809608459473,0.47504723072052,0.6923073,812449
Shallow_128,789,10,0.5297780632972717,0.5338729619979858,0.48002225160598755,0.69571006,812449
Shallow_128,1011,10,0.5349624752998352,0.5367512702941895,0.4772189259529114,0.6945703,812449
Bottleneck_64,42,10,0.5442261099815369,0.5403777956962585,0.4736868143081665,0.6888107,3306593
Bottleneck_64,123,10,0.5385677814483643,0.5378795862197876,0.4761199355125427,0.6909191,3306593
Bottleneck_64,456,10,0.5390706062316895,0.5324750542640686,0.4813838005065918,0.69403416,3306593
Bottleneck_64,789,10,0.5427294969558716,0.5419154763221741,0.4721890687942505,0.6882206,3306593
Bottleneck_64,1011,10,0.5479642748832703,0.5393596291542053,0.4746784567832947,0.6896836,3306593
Bottleneck_256,42,10,0.5291994214057922,0.5274026989936829,0.4863241910934448,0.69769806,3503393
Bottleneck_256,123,10,0.5254887938499451,0.5224317908287048,0.4911656975746155,0.7020798,3503393
Bottleneck_256,456,10,0.5288304090499878,0.5238612294197083,0.4897734522819519,0.700356,3503393
Bottleneck_256,789,10,0.5332518815994263,0.5302638411521912,0.483537495136261,0.69633216,3503393
Bottleneck_256,1011,10,0.5330605506896973,0.5301430225372314,0.4836551547050476,0.69654614,3503393
No_Bottleneck,42,9,0.5189250111579895,0.5181488394737244,0.4953371286392212,0.7048559,3503137
No_Bottleneck,123,10,0.5184139609336853,0.5163820385932922,0.4970579743385315,0.7058015,3503137
No_Bottleneck,456,10,0.519679844379425,0.5169576406478882,0.49649733304977417,0.7054071,3503137
No_Bottleneck,789,10,0.5211212038993835,0.5172439813613892,0.4962184429168701,0.7055178,3503137
No_Bottleneck,1011,9,0.5175736546516418,0.5160583257675171,0.4973732829093933,0.7055033,3503137
