gene,raw_identifier,n_masked,neural_r,neural_mse,rank_r,rank_mse,quality_score
PYROXD1,PYROXD1,102,0.8946146,0.16489264369010925,0.9916264090177134,0.9967793880837359,0.9942028985507246
MAGEF1,MAGEF1,113,0.8907305,0.1589341163635254,0.989694041867955,0.9977455716586151,0.9937198067632851
FITM2,FITM2,103,0.9013445,0.18556749820709229,0.9948470209339775,0.9916264090177134,0.9932367149758454
KLHL6,KLHL6,103,0.89283293,0.16987840831279755,0.9909822866344605,0.9948470209339775,0.9929146537842191
NCOA5,NCOA5,104,0.8914059,0.16974586248397827,0.9906602254428342,0.9951690821256038,0.9929146537842191
MIR548A3,MIR548A3,88,0.90166277,0.1881243735551834,0.9951690821256038,0.9903381642512077,0.9927536231884058
ECE2,ECE2,89,0.89099133,0.1744672656059265,0.9903381642512077,0.9938808373590983,0.992109500805153
CPQ,CPQ,102,0.89598775,0.19187165796756744,0.9922705314009662,0.9900161030595813,0.9911433172302737
RAD52,RAD52,113,0.8987769,0.20242750644683838,0.9938808373590983,0.9867954911433172,0.9903381642512077
RN7SL31P,RN7SL31P,105,0.92943317,0.21547931432724,1.0,0.9774557165861514,0.9887278582930756
PABPC1L,PABPC1L,97,0.8793105,0.15373504161834717,0.9777777777777777,0.998389694041868,0.9880837359098229
MIR1257,MIR1257,119,0.8951203,0.20818865299224854,0.9919484702093397,0.9835748792270531,0.9877616747181964
snoU13,snoU13|ENSG00000238791.1,92,0.9108111,0.2230888456106186,0.998389694041868,0.9706924315619968,0.9845410628019324
HTR3E,HTR3E,102,0.8701665,0.1163165345788002,0.9665056360708535,1.0,0.9832528180354267
KLHL24,KLHL24,94,0.9070554,0.22671818733215332,0.9974235104669887,0.9677938808373591,0.9826086956521739
POP1,POP1,110,0.8808092,0.20738646388053894,0.9797101449275363,0.984219001610306,0.9819645732689211
THPO,THPO,103,0.8967111,0.2231164276599884,0.9925925925925926,0.9703703703703703,0.9814814814814814
CTCFL,CTCFL,99,0.8679893,0.15084345638751984,0.9636070853462158,0.9990338164251208,0.9813204508856683
MIR4448,MIR4448,83,0.8692169,0.16202828288078308,0.9642512077294686,0.9971014492753624,0.9806763285024155
LINC00494,LINC00494,115,0.8798106,0.21193596720695496,0.9784219001610306,0.9819645732689211,0.9801932367149758
UBE2C,UBE2C,105,0.8665755,0.17916661500930786,0.961352657004831,0.9925925925925926,0.9769726247987118
DCAF13,DCAF13,94,0.9025726,0.23672489821910858,0.9954911433172303,0.9568438003220612,0.9761674718196458
MTBP,MTBP,109,0.8985947,0.23404733836650848,0.9935587761674718,0.9587761674718196,0.9761674718196457
PLEKHF2,PLEKHF2,92,0.87930655,0.22201263904571533,0.9774557165861514,0.9713365539452496,0.9743961352657005
BCAS1,BCAS1,104,0.873137,0.21626710891723633,0.9697262479871176,0.9764895330112722,0.9731078904991949
RN7SL229P,RN7SL229P,92,0.86269975,0.18595190346240997,0.9549114331723028,0.991304347826087,0.9731078904991949
IFLTD1,IFLTD1,108,0.8725787,0.21807308495044708,0.9690821256038648,0.9752012882447665,0.9721417069243157
TBCCD1,TBCCD1,100,0.9111955,0.244991734623909,0.9987117552334943,0.9442834138486312,0.9714975845410627
SNX31,SNX31,111,0.887649,0.23812925815582275,0.9864734299516909,0.9552334943639291,0.97085346215781
PLTP,PLTP,112,0.8548036,0.13567304611206055,0.94170692431562,0.9996779388083736,0.9706924315619968
EIF4G1,EIF4G1,91,0.8681067,0.21554802358150482,0.9639291465378422,0.977133655394525,0.9705314009661836
PEX2,PEX2,96,0.92361975,0.24850249290466309,0.9996779388083736,0.9388083735909822,0.9692431561996779
SNORD112,SNORD112|ENSG00000252359.1,85,0.86797845,0.21856418251991272,0.9632850241545894,0.9745571658615136,0.9689210950080516
PSMD2,PSMD2,108,0.8569422,0.19607900083065033,0.9452495974235104,0.9887278582930756,0.966988727858293
NHLH1,NHLH1,99,0.8876924,0.24441707134246826,0.9871175523349437,0.9452495974235104,0.9661835748792271
SLC25A32,SLC25A32,117,0.8548979,0.19338181614875793,0.9420289855072463,0.989694041867955,0.9658615136876006
RN7SL350P,RN7SL350P,88,0.86389285,0.22170914709568024,0.9587761674718196,0.9719806763285024,0.965378421900161
GSG1,GSG1,98,0.857336,0.20897960662841797,0.9458937198067633,0.9832528180354267,0.9645732689210951
ZC2HC1A,ZC2HC1A,101,0.8614656,0.22399823367595673,0.9526570048309179,0.9690821256038648,0.9608695652173913
CCM2L,CCM2L,102,0.86347103,0.23083610832691193,0.9571658615136877,0.964573268921095,0.9608695652173913
