cancer_label,n_test,deaths,original_cindex,neural_cindex,difference
1,101,43,0.5397178916109874,0.5779510022271714,0.03823311061618406
2,189,23,0.48987654320987656,0.6271604938271605,0.137283950617284
3,71,19,0.6537785588752196,0.4938488576449912,-0.15992970123022843
5,71,24,0.6567992599444958,0.6493987049028677,-0.007400555041628176
7,45,16,0.42592592592592593,0.5740740740740741,0.14814814814814814
8,126,49,0.5422643442622951,0.5996413934426229,0.05737704918032782
10,76,26,0.5920138888888888,0.6909722222222222,0.09895833333333337
11,66,9,0.8646864686468647,0.7920792079207921,-0.0726072607260726
12,35,22,0.5170068027210885,0.5963718820861678,0.0793650793650793
13,127,30,0.7764456981664316,0.7052186177715092,-0.07122708039492243
14,89,30,0.48171152518978605,0.642512077294686,0.1608005521048999
15,111,45,0.5216903515332835,0.5594614809274495,0.03777112939416605
16,87,44,0.5143422354104846,0.543026706231454,0.028684470820969366
17,22,17,0.6197183098591549,0.6619718309859155,0.04225352112676062
19,44,27,0.5455974842767296,0.5581761006289309,0.012578616352201255
22,21,6,0.8,0.7866666666666666,-0.01333333333333342
23,62,22,0.43757725587144625,0.6983930778739185,0.2608158220024722
24,83,42,0.5926921010209565,0.5314347125201505,-0.061257388500805976
25,87,37,0.49346576058546787,0.527443805541035,0.03397804495556711
29,102,19,0.4653179190751445,0.6724470134874759,0.2071290944123314
